Symbol	ID	Name	Synonyms	Chromosome	Category
KIR2DS4	3809	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4"	CD158I|KIR1D|KIR412|KKA3|MGC120019|MGC125315|MGC125317|NKAT8	19	Antigen_Processing_and_Presentation
KIR2DS5	3810	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5"	CD158G|NKAT9	19	Antigen_Processing_and_Presentation
KIR3DL1	3811	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"	CD158E1|KIR|MGC119726|MGC119728|MGC126589|MGC126591|NKAT3|NKB1|NKB1B	19	Antigen_Processing_and_Presentation
KIR3DL2	3812	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"	CD158K|MGC125321|NKAT4|NKAT4B|p140	19	Antigen_Processing_and_Presentation
KLRC1	3821	"killer cell lectin-like receptor subfamily C, member 1"	CD159A|MGC13374|MGC59791|NKG2|NKG2A	12	Antigen_Processing_and_Presentation
KLRC2	3822	"killer cell lectin-like receptor subfamily C, member 2"	CD159c|MGC138244|NKG2-C|NKG2C	12	Antigen_Processing_and_Presentation
KLRC3	3823	"killer cell lectin-like receptor subfamily C, member 3"	NKG2-E|NKG2E	12	Antigen_Processing_and_Presentation
KLRD1	3824	"killer cell lectin-like receptor subfamily D, member 1"	CD94	12	Antigen_Processing_and_Presentation
LTA	4049	"lymphotoxin alpha (TNF superfamily, member 1)"	LT|TNFB|TNFSF1	6	Antigen_Processing_and_Presentation
CIITA	4261	"class II, major histocompatibility complex, transactivator"	C2TA|CIITAIV|MHC2TA|NLRA	16	Antigen_Processing_and_Presentation
MICA	4276	MHC class I polypeptide-related sequence A	FLJ60820|MGC111087|PERB11.1	6	Antigen_Processing_and_Presentation
MICB	4277	MHC class I polypeptide-related sequence B	PERB11.2	6	Antigen_Processing_and_Presentation
NFYA	4800	"nuclear transcription factor Y, alpha"	CBF-A|CBF-B|FLJ11236|HAP2|NF-YA	6	Antigen_Processing_and_Presentation
NFYB	4801	"nuclear transcription factor Y, beta"	CBF-A|CBF-B|HAP3|NF-YB	12	Antigen_Processing_and_Presentation
NFYC	4802	"nuclear transcription factor Y, gamma"	CBF-C|CBFC|DKFZp667G242|FLJ45775|H1TF2A|HAP5|HSM|NF-YC	1	Antigen_Processing_and_Presentation
LGMN	5641	legumain	AEP|LGMN1|PRSC1	14	Antigen_Processing_and_Presentation
PSMB8	5696	"proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)"	D6S216|D6S216E|LMP7|MGC1491|PSMB5i|RING10|beta5i	6	Antigen_Processing_and_Presentation
PSMC1	5700	"proteasome (prosome, macropain) 26S subunit, ATPase, 1"	MGC24583|MGC8541|P26S4|S4|p56	14	Antigen_Processing_and_Presentation
PSMC2	5701	"proteasome (prosome, macropain) 26S subunit, ATPase, 2"	MGC3004|MSS1|Nbla10058|S7	7	Antigen_Processing_and_Presentation
PSMC3	5702	"proteasome (prosome, macropain) 26S subunit, ATPase, 3"	MGC8487|TBP1	11	Antigen_Processing_and_Presentation
PSMC4	5704	"proteasome (prosome, macropain) 26S subunit, ATPase, 4"	MGC13687|MGC23214|MGC8570|MIP224|S6|TBP7	19	Antigen_Processing_and_Presentation
PSMC5	5705	"proteasome (prosome, macropain) 26S subunit, ATPase, 5"	S8|SUG-1|SUG1|TBP10|TRIP1|p45|p45/SUG	17	Antigen_Processing_and_Presentation
PSMC6	5706	"proteasome (prosome, macropain) 26S subunit, ATPase, 6"	CADP44|MGC12520|P44|SUG2|p42	14	Antigen_Processing_and_Presentation
PSMD1	5707	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1"	MGC133040|MGC133041|P112|Rpn2|S1	2	Antigen_Processing_and_Presentation
PSMD2	5708	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2"	MGC14274|P97|Rpn1|S2|TRAP2	3	Antigen_Processing_and_Presentation
PSMD3	5709	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3"	P58|RPN3|S3	17	Antigen_Processing_and_Presentation
PSMD4	5710	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	1	Antigen_Processing_and_Presentation
PSMD5	5711	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 5"	KIAA0072|MGC23145|S5B	9	Antigen_Processing_and_Presentation
PSMD7	5713	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 7"	MOV34|P40|Rpn8|S12	16	Antigen_Processing_and_Presentation
PSMD8	5714	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8"	HIP6|HYPF|MGC1660|Nin1p|Rpn12|S14|p31	19	Antigen_Processing_and_Presentation
PSMD10	5716	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 10"	dJ889N15.2|p28	X	Antigen_Processing_and_Presentation
PSMD11	5717	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11"	MGC3844|Rpn6|S9|p44.5	17	Antigen_Processing_and_Presentation
PSMD13	5719	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13"	HSPC027|Rpn9|S11|p40.5	11	Antigen_Processing_and_Presentation
PSME1	5720	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	IFI5111|MGC8628|PA28A|PA28alpha|REGalpha	14	Antigen_Processing_and_Presentation
PSME1	5720	"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"	IFI5111|MGC8628|PA28A|PA28alpha|REGalpha	14	Antigen_Processing_and_Presentation
PSME2	5721	"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"	PA28B|PA28beta|REGbeta	14	Antigen_Processing_and_Presentation
PSME2	5721	"proteasome (prosome, macropain) activator subunit 2 (PA28 beta)"	PA28B|PA28beta|REGbeta	14	Antigen_Processing_and_Presentation
RELB	5971	v-rel reticuloendotheliosis viral oncogene homolog B	I-REL|IREL	19	Antigen_Processing_and_Presentation
RFX5	5993	"regulatory factor X, 5 (influences HLA class II expression)"	-	1	Antigen_Processing_and_Presentation
RFXAP	5994	regulatory factor X-associated protein	-	13	Antigen_Processing_and_Presentation
SLC10A2	6555	"solute carrier family 10 (sodium/bile acid cotransporter family), member 2"	ASBT|ISBT|NTCP2	13	Antigen_Processing_and_Presentation
TAP1	6890	"transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"	ABC17|ABCB2|APT1|D6S114E|FLJ26666|FLJ41500|PSF1|RING4|TAP1*0102N|TAP1N	6	Antigen_Processing_and_Presentation
TAP2	6891	"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"	ABC18|ABCB3|APT2|D6S217E|PSF2|RING11	6	Antigen_Processing_and_Presentation
TAPBP	6892	TAP binding protein (tapasin)	NGS17|TAPA|TPN|TPSN|tapasin	6	Antigen_Processing_and_Presentation
THBS1	7057	thrombospondin 1	THBS|THBS-1|TSP|TSP-1|TSP1	15	Antigen_Processing_and_Presentation
SHFM1	7979	split hand/foot malformation (ectrodactyly) type 1	DSS1|ECD|SEM1|SHFD1|SHSF1|Shfdg1	7	Antigen_Processing_and_Presentation
KLRC4	8302	"killer cell lectin-like receptor subfamily C, member 4"	FLJ17759|FLJ78582|NKG2-F|NKG2F	12	Antigen_Processing_and_Presentation
AP3B1	8546	"adaptor-related protein complex 3, beta 1 subunit"	ADTB3|ADTB3A|HPS|HPS2|PE	5	Antigen_Processing_and_Presentation
RFXANK	8625	regulatory factor X-associated ankyrin-containing protein	ANKRA1|BLS|F14150_1|MGC138628|RFX-B	19	Antigen_Processing_and_Presentation
PSMD6	9861	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 6"	KIAA0107|Rpn7|S10|SGA-113M|p44S10	3	Antigen_Processing_and_Presentation
PSME3	10197	"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"	Ki|PA28-gamma|PA28G|REG-GAMMA	17	Antigen_Processing_and_Presentation
PSMD14	10213	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"	PAD1|POH1|rpn11	2	Antigen_Processing_and_Presentation
CLEC4M	10332	"C-type lectin domain family 4, member M"	CD209L|CD299|DC-SIGN2|DC-SIGNR|DCSIGNR|HP10347|L-SIGN|LSIGN|MGC129964|MGC47866	19	Antigen_Processing_and_Presentation
IFI30	10437	"interferon, gamma-inducible protein 30"	GILT|IFI-30|IP30|MGC32056	19	Antigen_Processing_and_Presentation
PROCR	10544	"protein C receptor, endothelial (EPCR)"	CCCA|CCD41|CD201|EPCR|MGC23024|bA42O4.2	20	Antigen_Processing_and_Presentation
ADRM1	11047	adhesion regulating molecule 1	ARM1|GP110|MGC29536|Rpn13	20	Antigen_Processing_and_Presentation
KIAA0368	23392	KIAA0368	ECM29|FLJ22036|KIAA1962|RP11-386D8.2	9	Antigen_Processing_and_Presentation
TRPC4AP	26133	"transient receptor potential cation channel, subfamily C, member 4 associated protein"	C20orf188|TRRP4AP|TRUSS	20	Antigen_Processing_and_Presentation
CD209	30835	CD209 molecule	CDSIGN|CLEC4L|DC-SIGN|DC-SIGN1|MGC129965	19	Antigen_Processing_and_Presentation
UBXN1	51035	UBX domain protein 1	2B28|UBXD10	11	Antigen_Processing_and_Presentation
ERAP1	51752	endoplasmic reticulum aminopeptidase 1	A-LAP|ALAP|APPILS|ARTS-1|ARTS1|ERAAP|ERAAP1|KIAA0525|PILS-AP|PILSAP	5	Antigen_Processing_and_Presentation
TAPBPL	55080	TAP binding protein-like	FLJ10143|TAPBP-R|TAPBPR	12	Antigen_Processing_and_Presentation
KIR2DL5A	57292	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 5A"	CD158F|KIR2DL5|KIR2DL5.1|KIR2DL5.3	19	Antigen_Processing_and_Presentation
ERAP2	64167	endoplasmic reticulum aminopeptidase 2	FLJ23633|FLJ23701|FLJ23807|L-RAP|LRAP	5	Antigen_Processing_and_Presentation
ULBP3	79465	UL16 binding protein 3	RAET1N	6	Antigen_Processing_and_Presentation
ULBP2	80328	UL16 binding protein 2	N2DL2|RAET1H	6	Antigen_Processing_and_Presentation
ULBP1	80329	UL16 binding protein 1	RAET1I	6	Antigen_Processing_and_Presentation
KIR3DL3	115653	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3"	CD158Z|KIR3DL7|KIR44|KIRC1	19	Antigen_Processing_and_Presentation
RAET1E	135250	retinoic acid early transcript 1E	LETAL|MGC125308|MGC125309|RAET1E2|ULBP4|bA350J20.7	6	Antigen_Processing_and_Presentation
RAET1L	154064	retinoic acid early transcript 1L	-	6	Antigen_Processing_and_Presentation
UBR1	197131	ubiquitin protein ligase E3 component n-recognin 1	JBS|MGC142065|MGC142067	15	Antigen_Processing_and_Presentation
RAET1G	353091	retinoic acid early transcript 1G	ULBP5	6	Antigen_Processing_and_Presentation
PDIA2	64714	"protein disulfide isomerase family A, member 2"	PDA2|PDI|PDIP|PDIR	16	Antigen_Processing_and_Presentation
HAMP	57817	hepcidin antimicrobial peptide	HEPC|HEPCIDIN|HFE2B|LEAP-1|LEAP1|PLTR	19	Antimicrobials
PI3	5266	"peptidase inhibitor 3, skin-derived"	ESI|MGC13613|SKALP|WAP3|WFDC14|cementoin	20	Antimicrobials
CAMP	820	cathelicidin antimicrobial peptide	CAP18|CRAMP|FALL-39|FALL39|HSD26|LL37	3	Antimicrobials
DEFB4	1673	"defensin, beta 4"	DEFB-2|DEFB102|DEFB2|HBD-2|SAP1	8	Antimicrobials
PPBP	5473	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	B-TG1|Beta-TG|CTAP-III|CTAP3|CTAPIII|CXCL7|LA-PF4|LDGF|MDGF|NAP-2|PBP|SCYB7|TC1|TC2|TGB|TGB1|THBGB|THBGB1	4	Antimicrobials
REG3G	130120	regenerating islet-derived 3 gamma	MGC118998|MGC118999|MGC119001|PAP1B|PAPIB|REG-III|UNQ429	2	Antimicrobials
CXCL14	9547	chemokine (C-X-C motif) ligand 14	BMAC|BRAK|KS1|Kec|MGC10687|MIP-2g|NJAC|SCYB14|bolekine	5	Antimicrobials
CXCL16	58191	chemokine (C-X-C motif) ligand 16	CXCLG16|SR-PSOX|SRPSOX	17	Antimicrobials
SLPI	6590	secretory leukocyte peptidase inhibitor	ALK1|ALP|BLPI|HUSI|HUSI-I|MPI|WAP4|WFDC4	20	Antimicrobials
IL8	3576	interleukin 8	CXCL8|GCP-1|GCP1|LECT|LUCT|LYNAP|MDNCF|MONAP|NAF|NAP-1|NAP1	4	Antimicrobials
CXCL10	3627	chemokine (C-X-C motif) ligand 10	C7|IFI10|INP10|IP-10|SCYB10|crg-2|gIP-10|mob-1	4	Antimicrobials
CXCL9	4283	chemokine (C-X-C motif) ligand 9	CMK|Humig|MIG|SCYB9|crg-10	4	Antimicrobials
CXCL5	6374	chemokine (C-X-C motif) ligand 5	ENA-78|SCYB5	4	Antimicrobials
CXCL11	6373	chemokine (C-X-C motif) ligand 11	H174|I-TAC|IP-9|IP9|MGC102770|SCYB11|SCYB9B|b-R1	4	Antimicrobials
CXCL6	6372	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	CKA-3|GCP-2|GCP2|SCYB6	4	Antimicrobials
CXCL1	2919	"chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)"	FSP|GRO1|GROa|MGSA|MGSA-a|NAP-3|SCYB1	4	Antimicrobials
CXCL12	6387	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	PBSF|SCYB12|SDF-1a|SDF-1b|SDF1|SDF1A|SDF1B|TLSF-a|TLSF-b|TPAR1	10	Antimicrobials
CXCL13	10563	chemokine (C-X-C motif) ligand 13	ANGIE|ANGIE2|BCA-1|BCA1|BLC|BLR1L|SCYB13	4	Antimicrobials
CXCL2	2920	chemokine (C-X-C motif) ligand 2	CINC-2a|GRO2|GROb|MGSA-b|MIP-2a|MIP2|MIP2A|SCYB2	4	Antimicrobials
PF4	5196	platelet factor 4	CXCL4|MGC138298|SCYB4	4	Antimicrobials
XCL1	6375	chemokine (C motif) ligand 1	ATAC|LPTN|LTN|SCM-1|SCM-1a|SCM1|SCYC1	1	Antimicrobials
CXCL3	2921	chemokine (C-X-C motif) ligand 3	CINC-2b|GRO3|GROg|MIP-2b|MIP2B|SCYB3	4	Antimicrobials
DEFB103A	55894	"defensin, beta 103A"	DEFB103|DEFB3|HBD-3|HBD3|HBP-3|HBP3	8	Antimicrobials
CCL13	6357	chemokine (C-C motif) ligand 13	CKb10|MCP-4|MGC17134|NCC-1|NCC1|SCYA13|SCYL1	17	Antimicrobials
CCL1	6346	chemokine (C-C motif) ligand 1	I-309|P500|SCYA1|SISe|TCA3	17	Antimicrobials
DEFB1	1672	"defensin, beta 1"	BD1|DEFB-1|DEFB101|HBD1|MGC51822	8	Antimicrobials
CCL8	6355	chemokine (C-C motif) ligand 8	HC14|MCP-2|MCP2|SCYA10|SCYA8	17	Antimicrobials
ELANE	1991	"elastase, neutrophil expressed"	ELA2|GE|HLE|HNE|NE|PMN-E	19	Antimicrobials
DEFB103B	414325	"defensin, beta 103B"	-	8	Antimicrobials
DEFA3	1668	"defensin, alpha 3, neutrophil-specific"	DEF3|HNP-3|HNP3|HP-3	8	Antimicrobials
DEFA1	1667	"defensin, alpha 1"	DEF1|DEFA2|HNP-1|HP-1|MGC138393|MRS	8	Antimicrobials
TMSB10	9168	thymosin beta 10	MIG12|TB10	2	Antimicrobials
DEFA6	1671	"defensin, alpha 6, Paneth cell-specific"	DEF6|HD-6	8	Antimicrobials
DEFA5	1670	"defensin, alpha 5, Paneth cell-specific"	DEF5|HD-5|MGC129728	8	Antimicrobials
DEFA4	1669	"defensin, alpha 4, corticostatin"	DEF4|HNP-4|HP-4|HP4|MGC120099|MGC138296	8	Antimicrobials
LCN2	3934	lipocalin 2	24p3|NGAL	9	Antimicrobials
LCN1	3933	lipocalin 1 (tear prealbumin)	MGC71975|PMFA|TP|VEGP	9	Antimicrobials
COLEC10	10584	collectin sub-family member 10 (C-type lectin)	CLL1|MGC118794|MGC118795	8	Antimicrobials
BPI	671	bactericidal/permeability-increasing protein	-	20	Antimicrobials
S100A9	6280	S100 calcium binding protein A9	60B8AG|CAGB|CFAG|CGLB|L1AG|LIAG|MAC387|MIF|MRP14|NIF|P14	1	Antimicrobials
S100A8	6279	S100 calcium binding protein A8	60B8AG|CAGA|CFAG|CGLA|CP-10|L1Ag|MA387|MIF|MRP8|NIF|P8	1	Antimicrobials
DCD	117159	dermcidin	AIDD|DCD-1|DSEP|HCAP|MGC71930|PIF	12	Antimicrobials
LCN6	158062	lipocalin 6	LCN5|UNQ643|hLcn5	9	Antimicrobials
S100A12	6283	S100 calcium binding protein A12	CAAF1|CAGC|CGRP|ENRAGE|MRP6|p6	1	Antimicrobials
HTN3	3347	histatin 3	HIS2|HTN2|HTN5	4	Antimicrobials
LCN8	138307	lipocalin 8	EP17|LCN5	9	Antimicrobials
LOC728358	728358	"defensin, alpha 1"	-	8	Antimicrobials
CCR10	2826	chemokine (C-C motif) receptor 10	GPR2	17	Antimicrobials
CELA1	1990	"chymotrypsin-like elastase family, member 1"	ELA1	12	Antimicrobials
DEFB106A	245909	"defensin, beta 106A"	BD-6|DEFB-6|DEFB106|MGC118938|MGC118939|MGC118940|MGC118941|MGC133011|MGC133012	8	Antimicrobials
PENK	5179	proenkephalin	-	8	Antimicrobials
BPIL2	254240	bactericidal/permeability-increasing protein-like 2	-	22	Antimicrobials
MMP12	4321	matrix metallopeptidase 12 (macrophage elastase)	HME|MGC138506|MME	11	Antimicrobials
BPIL3	128859	bactericidal/permeability-increasing protein-like 3	LPLUNC6	20	Antimicrobials
LEAP2	116842	liver expressed antimicrobial peptide 2	LEAP-2	5	Antimicrobials
SFTPD	6441	surfactant protein D	COLEC7|PSP-D|SFTP4|SP-D	10	Antimicrobials
LCN9	392399	lipocalin 9	9230102I19Rik	9	Antimicrobials
