ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ANKAR	ankyrin and armadillo repeat containing(ANKAR)	Homo sapiens					GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016021~integral component of membrane,		IPR000225:Armadillo,IPR002110:Ankyrin repeat,IPR011989:Armadillo-like helical,IPR016024:Armadillo-type fold,IPR020683:Ankyrin repeat-containing domain,				SM00185:ARM,SM00248:ANK,	Alternative splicing,ANK repeat,Complete proteome,Membrane,Polymorphism,Reference proteome,Repeat,Transmembrane,Transmembrane helix,	chain:Ankyrin and armadillo repeat-containing protein,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ARM 1,repeat:ARM 2,repeat:ARM 3,repeat:ARM 4,repeat:ARM 5,repeat:ARM 6,sequence conflict,sequence variant,splice variant,transmembrane region,
ANKMY1	ankyrin repeat and MYND domain containing 1(ANKMY1)	Homo sapiens			Function unknown,			GO:0046872~metal ion binding,	IPR002110:Ankyrin repeat,IPR002893:Zinc finger, MYND-type,IPR003409:MORN motif,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,SM00698:MORN,	Alternative splicing,ANK repeat,Complete proteome,Metal-binding,Polymorphism,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:Ankyrin repeat and MYND domain-containing protein 1,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,repeat:ANK 7,repeat:MORN 1,repeat:MORN 2,repeat:MORN 3,sequence conflict,sequence variant,splice variant,zinc finger region:MYND-type,
ASB1	ankyrin repeat and SOCS box containing 1(ASB1)	Homo sapiens				GO:0016567~protein ubiquitination,GO:0030539~male genitalia development,GO:0035556~intracellular signal transduction,GO:0042036~negative regulation of cytokine biosynthetic process,	GO:0005622~intracellular,		IPR001496:SOCS protein, C-terminal,IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,SM00969:SM00969,	ANK repeat,Complete proteome,Developmental protein,Proteomics identification,Reference proteome,Repeat,Ubl conjugation pathway,	chain:Ankyrin repeat and SOCS box protein 1,domain:SOCS box,modified residue,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,
ASB14	ankyrin repeat and SOCS box containing 14(ASB14)	Homo sapiens				GO:0016567~protein ubiquitination,GO:0035556~intracellular signal transduction,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0004842~ubiquitin-protein transferase activity,GO:0031625~ubiquitin protein ligase binding,	IPR001496:SOCS protein, C-terminal,IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,SM00253:SOCS,SM00969:SM00969,	Alternative splicing,ANK repeat,Complete proteome,Reference proteome,Repeat,Signal,	chain:Ankyrin repeat and SOCS box protein 14,domain:SOCS box,repeat:ANK 1,repeat:ANK 10,repeat:ANK 11,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,repeat:ANK 7,repeat:ANK 8,repeat:ANK 9,splice variant,
ASB17	ankyrin repeat and SOCS box containing 17(ASB17)	Homo sapiens				GO:0016567~protein ubiquitination,GO:0035556~intracellular signal transduction,	GO:0005622~intracellular,		IPR001496:SOCS protein, C-terminal,IPR020683:Ankyrin repeat-containing domain,				SM00969:SM00969,	ANK repeat,Complete proteome,Polymorphism,Reference proteome,Ubl conjugation pathway,	chain:Ankyrin repeat and SOCS box protein 17,domain:SOCS box,repeat:ANK,sequence variant,
ASB18	ankyrin repeat and SOCS box containing 18(ASB18)	Homo sapiens			General function prediction only,	GO:0016567~protein ubiquitination,GO:0035556~intracellular signal transduction,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016021~integral component of membrane,	GO:0004842~ubiquitin-protein transferase activity,GO:0031625~ubiquitin protein ligase binding,	IPR001496:SOCS protein, C-terminal,IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,SM00969:SM00969,	Alternative splicing,ANK repeat,Complete proteome,Membrane,Polymorphism,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Ubl conjugation pathway,	chain:Ankyrin repeat and SOCS box protein 18,domain:SOCS box,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,sequence variant,splice variant,
ASB3	ankyrin repeat and SOCS box containing 3(ASB3)	Homo sapiens				GO:0016567~protein ubiquitination,GO:0035556~intracellular signal transduction,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005737~cytoplasm,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0031625~ubiquitin protein ligase binding,	IPR001496:SOCS protein, C-terminal,IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,SM00969:SM00969,	Alternative splicing,ANK repeat,Complete proteome,Reference proteome,Repeat,Ubl conjugation pathway,	chain:Ankyrin repeat and SOCS box protein 3,domain:SOCS box,repeat:ANK 1,repeat:ANK 10,repeat:ANK 11,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,repeat:ANK 7,repeat:ANK 8,repeat:ANK 9,sequence conflict,splice variant,
ANKRD13C	ankyrin repeat domain 13C(ANKRD13C)	Homo sapiens				GO:0006621~protein retention in ER lumen,GO:0010869~regulation of receptor biosynthetic process,GO:2000209~regulation of anoikis,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0005102~receptor binding,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,IPR021832:Ankyrin repeat domain-containing protein 13,				SM00248:ANK,	Alternative splicing,ANK repeat,Chaperone,Complete proteome,Endoplasmic reticulum,Membrane,Phosphoprotein,Polymorphism,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 13C,compositionally biased region:Poly-Ala,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,sequence conflict,sequence variant,splice variant,
ANKRD20A12P	ankyrin repeat domain 20 family member A12, pseudogene(ANKRD20A12P)	Homo sapiens												Coiled coil,Complete proteome,Reference proteome,
ANKRD20A8P	ankyrin repeat domain 20 family member A8, pseudogene(ANKRD20A8P)	Homo sapiens							IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Coiled coil,Complete proteome,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 20A4,chain:Ankyrin repeat domain-containing protein 20B,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,sequence conflict,splice variant,
ANKRD28	ankyrin repeat domain 28(ANKRD28)	Homo sapiens			General function prediction only,	GO:0048208~COPII vesicle coating,	GO:0000139~Golgi membrane,GO:0005654~nucleoplasm,GO:0005829~cytosol,	GO:0005515~protein binding,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative promoter usage,Alternative splicing,ANK repeat,Complete proteome,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,	chain:Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,modified residue,mutagenesis site,repeat:ANK 1,repeat:ANK 10,repeat:ANK 11,repeat:ANK 12,repeat:ANK 13,repeat:ANK 14,repeat:ANK 15,repeat:ANK 16,repeat:ANK 17,repeat:ANK 18,repeat:ANK 19,repeat:ANK 2,repeat:ANK 20,repeat:ANK 21,repeat:ANK 22,repeat:ANK 23,repeat:ANK 24,repeat:ANK 25,repeat:ANK 26,repeat:ANK 27,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,repeat:ANK 7,repeat:ANK 8,repeat:ANK 9,sequence conflict,splice variant,
ANKRD30BL	ankyrin repeat domain 30B like(ANKRD30BL)	Homo sapiens							IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Complete proteome,Reference proteome,Repeat,
ANKRD35	ankyrin repeat domain 35(ANKRD35)	Homo sapiens							IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Coiled coil,Complete proteome,Polymorphism,Proteomics identification,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 35,compositionally biased region:Poly-Ala,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,sequence conflict,sequence variant,
ANKRD36	ankyrin repeat domain 36(ANKRD36)	Homo sapiens							IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Coiled coil,Complete proteome,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 36,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,splice variant,
ANKRD36B	ankyrin repeat domain 36B(ANKRD36B)	Homo sapiens						GO:0005515~protein binding,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Coiled coil,Complete proteome,Polymorphism,Reference proteome,Repeat,	chain:UPF0634 protein B,sequence conflict,sequence variant,splice variant,
ANKRD36C	ankyrin repeat domain 36C(ANKRD36C)	Homo sapiens						GO:0008200~ion channel inhibitor activity,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Coiled coil,Complete proteome,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,	chain:UPF0634 protein C,sequence conflict,splice variant,
ANKRD39	ankyrin repeat domain 39(ANKRD39)	Homo sapiens							IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	ANK repeat,Complete proteome,Phosphoprotein,Polymorphism,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 39,modified residue,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,repeat:ANK 4,sequence conflict,sequence variant,
ANKRD44	ankyrin repeat domain 44(ANKRD44)	Homo sapiens						GO:0005515~protein binding,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Complete proteome,Proteomics identification,Reference proteome,Repeat,	chain:Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,repeat:ANK 1,repeat:ANK 10,repeat:ANK 11,repeat:ANK 12,repeat:ANK 13,repeat:ANK 14,repeat:ANK 15,repeat:ANK 16,repeat:ANK 17,repeat:ANK 18,repeat:ANK 19,repeat:ANK 2,repeat:ANK 20,repeat:ANK 21,repeat:ANK 22,repeat:ANK 23,repeat:ANK 24,repeat:ANK 25,repeat:ANK 26,repeat:ANK 27,repeat:ANK 28,repeat:ANK 3,repeat:ANK 4,repeat:ANK 5,repeat:ANK 6,repeat:ANK 7,repeat:ANK 8,repeat:ANK 9,sequence conflict,splice variant,
ANKRD45	ankyrin repeat domain 45(ANKRD45)	Homo sapiens						GO:0005515~protein binding,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Complete proteome,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 45,compositionally biased region:Poly-Glu,repeat:ANK 1,repeat:ANK 2,splice variant,
ANKRD53	ankyrin repeat domain 53(ANKRD53)	Homo sapiens				GO:0007080~mitotic metaphase plate congression,GO:0031116~positive regulation of microtubule polymerization,GO:0051301~cell division,GO:0060236~regulation of mitotic spindle organization,GO:1902412~regulation of mitotic cytokinesis,	GO:0000922~spindle pole,GO:0005737~cytoplasm,GO:0005819~spindle,	GO:0005515~protein binding,	IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	Alternative splicing,ANK repeat,Cell cycle,Cell division,Complete proteome,Cytoplasm,Cytoskeleton,Mitosis,Phosphoprotein,Polymorphism,Reference proteome,Repeat,	chain:Ankyrin repeat domain-containing protein 53,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,sequence variant,splice variant,
ANXA4	annexin A4(ANXA4)	Homo sapiens				GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007165~signal transduction,GO:0007219~Notch signaling pathway,GO:0030855~epithelial cell differentiation,GO:0032088~negative regulation of NF-kappaB transcription factor activity,GO:0043066~negative regulation of apoptotic process,GO:0043086~negative regulation of catalytic activity,GO:0050819~negative regulation of coagulation,GO:2000483~negative regulation of interleukin-8 secretion,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0009986~cell surface,GO:0012506~vesicle membrane,GO:0031965~nuclear membrane,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0004859~phospholipase inhibitor activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005544~calcium-dependent phospholipid binding,GO:0042802~identical protein binding,GO:0048306~calcium-dependent protein binding,GO:0051059~NF-kappaB binding,	IPR001464:Annexin,IPR002391:Annexin, type IV,IPR002392:Annexin, type V,IPR018252:Annexin repeat, conserved site,IPR018502:Annexin repeat,				SM00335:ANX,	3D-structure,Acetylation,Alternative splicing,Annexin,Calcium,Calcium/phospholipid-binding,Complete proteome,Direct protein sequencing,Isopeptide bond,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Ubl conjugation,	chain:Annexin A4,helix,modified residue,repeat:Annexin 1,repeat:Annexin 2,repeat:Annexin 3,repeat:Annexin 4,sequence conflict,sequence variant,turn,
ANXA9	annexin A9(ANXA9)	Homo sapiens				GO:0007165~signal transduction,GO:0016337~single organismal cell-cell adhesion,	GO:0005829~cytosol,GO:0009986~cell surface,GO:0070062~extracellular exosome,	GO:0001786~phosphatidylserine binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0005544~calcium-dependent phospholipid binding,GO:0015464~acetylcholine receptor activity,GO:0042803~protein homodimerization activity,	IPR001464:Annexin,IPR009116:Annexin, type XXXI,IPR018252:Annexin repeat, conserved site,IPR018502:Annexin repeat,				SM00335:ANX,	Annexin,Complete proteome,Polymorphism,Reference proteome,Repeat,	chain:Annexin A9,modified residue,repeat:Annexin 1,repeat:Annexin 2,repeat:Annexin 3,repeat:Annexin 4,sequence variant,
ANO10	anoctamin 10(ANO10)	Homo sapiens				GO:0006812~cation transport,GO:0006821~chloride transport,GO:0034220~ion transmembrane transport,GO:0098655~cation transmembrane transport,GO:1902476~chloride transmembrane transport,	GO:0005622~intracellular,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0005227~calcium activated cation channel activity,GO:0005229~intracellular calcium activated chloride channel activity,	IPR007632:Anoctamin/TMEM 16,		613728~Spinocerebellar ataxia, autosomal recessive 10,			Alternative splicing,Cell membrane,Complete proteome,Disease mutation,Membrane,Neurodegeneration,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Anoctamin-10,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ANO7	anoctamin 7(ANO7)	Homo sapiens				GO:0006821~chloride transport,GO:0006869~lipid transport,GO:0034220~ion transmembrane transport,GO:0061588~calcium activated phospholipid scrambling,GO:0061589~calcium activated phosphatidylserine scrambling,GO:0061590~calcium activated phosphatidylcholine scrambling,GO:0061591~calcium activated galactosylceramide scrambling,GO:1902476~chloride transmembrane transport,	GO:0005622~intracellular,GO:0005634~nucleus,GO:0005783~endoplasmic reticulum,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,	GO:0005229~intracellular calcium activated chloride channel activity,GO:0017128~phospholipid scramblase activity,GO:0046983~protein dimerization activity,	IPR007632:Anoctamin/TMEM 16,					Alternative splicing,Cell junction,Cell membrane,Complete proteome,Cytoplasm,Endoplasmic reticulum,Glycoprotein,Lipid transport,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,Transport,	chain:Anoctamin-7,sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ANTXR1	anthrax toxin receptor 1(ANTXR1)	Homo sapiens				GO:0001568~blood vessel development,GO:0007165~signal transduction,GO:0022414~reproductive process,GO:0031532~actin cytoskeleton reorganization,GO:0034446~substrate adhesion-dependent cell spreading,GO:1901202~negative regulation of extracellular matrix assembly,GO:1905050~positive regulation of metallopeptidase activity,	GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0010008~endosome membrane,GO:0016021~integral component of membrane,GO:0031258~lamellipodium membrane,GO:0031527~filopodium membrane,GO:0070062~extracellular exosome,	GO:0004872~receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005515~protein binding,GO:0005518~collagen binding,GO:0046872~metal ion binding,GO:0051015~actin filament binding,	IPR002035:von Willebrand factor, type A,IPR008399:Anthrax toxin receptor, C-terminal,IPR008400:Anthrax toxin receptor, extracellular,IPR017360:Anthrax toxin receptor,		230740~GAPO syndrome,602089~Hemangioma, capillary infantile, susceptibility to,	PIRSF038023:anthrax toxin receptor,	SM00327:VWA,	3D-structure,Alternative splicing,Cell membrane,Cell projection,Complete proteome,Disulfide bond,Glycoprotein,Hypotrichosis,Membrane,Metal-binding,Phosphoprotein,Polymorphism,Proteomics identification,Receptor,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:Anthrax toxin receptor 1,compositionally biased region:Asp/Glu-rich (highly acidic),compositionally biased region:Pro-rich,domain:VWFA,glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Divalent metal cation,modified residue,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
APH1A	aph-1 homolog A, gamma-secretase subunit(APH1A)	Homo sapiens				GO:0001656~metanephros development,GO:0006509~membrane protein ectodomain proteolysis,GO:0007219~Notch signaling pathway,GO:0007220~Notch receptor processing,GO:0016485~protein processing,GO:0031293~membrane protein intracellular domain proteolysis,GO:0042987~amyloid precursor protein catabolic process,GO:0043065~positive regulation of apoptotic process,GO:0043085~positive regulation of catalytic activity,GO:0048013~ephrin receptor signaling pathway,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0032580~Golgi cisterna membrane,GO:0070765~gamma-secretase complex,	GO:0004175~endopeptidase activity,GO:0005515~protein binding,	IPR009294:Gamma-secretase subunit Aph-1,	hsa04330:Notch signaling pathway,hsa05010:Alzheimer's disease,				3D-structure,Alternative splicing,Complete proteome,Endoplasmic reticulum,Golgi apparatus,Membrane,Notch signaling pathway,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Gamma-secretase subunit APH-1A,sequence conflict,splice variant,transmembrane region,
APOB	apolipoprotein B(APOB)	Homo sapiens			DNA replication, recombination, and repair,	GO:0001523~retinoid metabolic process,GO:0001701~in utero embryonic development,GO:0006642~triglyceride mobilization,GO:0006898~receptor-mediated endocytosis,GO:0007283~spermatogenesis,GO:0007399~nervous system development,GO:0008203~cholesterol metabolic process,GO:0009566~fertilization,GO:0009615~response to virus,GO:0009743~response to carbohydrate,GO:0009791~post-embryonic development,GO:0010269~response to selenium ion,GO:0010628~positive regulation of gene expression,GO:0010744~positive regulation of macrophage derived foam cell differentiation,GO:0010884~positive regulation of lipid storage,GO:0010886~positive regulation of cholesterol storage,GO:0019433~triglyceride catabolic process,GO:0030301~cholesterol transport,GO:0030317~sperm motility,GO:0032496~response to lipopolysaccharide,GO:0033344~cholesterol efflux,GO:0034374~low-density lipoprotein particle remodeling,GO:0034379~very-low-density lipoprotein particle assembly,GO:0034383~low-density lipoprotein particle clearance,GO:0042157~lipoprotein metabolic process,GO:0042158~lipoprotein biosynthetic process,GO:0042159~lipoprotein catabolic process,GO:0042632~cholesterol homeostasis,GO:0042953~lipoprotein transport,GO:0044257~cellular protein catabolic process,GO:0045540~regulation of cholesterol biosynthetic process,GO:0048844~artery morphogenesis,GO:0050900~leukocyte migration,GO:0071356~cellular response to tumor necrosis factor,GO:0071379~cellular response to prostaglandin stimulus,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005737~cytoplasm,GO:0005769~early endosome,GO:0005788~endoplasmic reticulum lumen,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0010008~endosome membrane,GO:0015629~actin cytoskeleton,GO:0030669~clathrin-coated endocytic vesicle membrane,GO:0031904~endosome lumen,GO:0034359~mature chylomicron,GO:0034360~chylomicron remnant,GO:0034361~very-low-density lipoprotein particle,GO:0034362~low-density lipoprotein particle,GO:0034363~intermediate-density lipoprotein particle,GO:0042627~chylomicron,GO:0043025~neuronal cell body,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,GO:0070971~endoplasmic reticulum exit site,GO:0071682~endocytic vesicle lumen,	GO:0005319~lipid transporter activity,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0008201~heparin binding,GO:0017127~cholesterol transporter activity,GO:0035473~lipase binding,GO:0050750~low-density lipoprotein particle receptor binding,	IPR001747:Lipid transport protein, N-terminal,IPR009454:Lipid transport, open beta-sheet,IPR011030:Vitellinogen, superhelical,IPR015255:Vitellinogen, open beta-sheet,IPR015816:Vitellinogen, beta-sheet N-terminal,IPR015817:Vitellinogen, open beta-sheet, subdomain 1,IPR015818:Vitellinogen, open beta-sheet, subdomain 2,IPR015819:Lipid transport protein, beta-sheet shell,IPR016024:Armadillo-type fold,IPR022176:Apolipoprotein B100 C-terminal,	hsa04975:Fat digestion and absorption,hsa04977:Vitamin digestion and absorption,	144010~Hypercholesterolemia, due to ligand-defective apo B,615558~Hypobetalipoproteinemia,		SM00638:LPD_N,SM01169:SM01169,	Acetylation,Atherosclerosis,Cholesterol metabolism,Chylomicron,Coiled coil,Complete proteome,Cytoplasm,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Heparin-binding,LDL,Lipid metabolism,Lipid transport,Lipoprotein,Palmitate,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,RNA editing,Secreted,Signal,Steroid metabolism,Sterol metabolism,Transport,VLDL,	chain:Apolipoprotein B-100,chain:Apolipoprotein B-48,disulfide bond,domain:Vitellogenin,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:S-palmitoyl cysteine,modified residue,mutagenesis site,region of interest:Basic (possible receptor binding region),region of interest:Heparin-binding,region of interest:LDL receptor binding,sequence conflict,sequence variant,signal peptide,
APLF	aprataxin and PNKP like factor(APLF)	Homo sapiens				GO:0000012~single strand break repair,GO:0006302~double-strand break repair,GO:0006974~cellular response to DNA damage stimulus,GO:0045191~regulation of isotype switching,GO:0051106~positive regulation of DNA ligation,GO:0090305~nucleic acid phosphodiester bond hydrolysis,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0035861~site of double-strand break,	GO:0000166~nucleotide binding,GO:0003906~DNA-(apurinic or apyrimidinic site) lyase activity,GO:0004520~endodeoxyribonuclease activity,GO:0005515~protein binding,GO:0008408~3'-5' exonuclease activity,GO:0046872~metal ion binding,	IPR000253:Forkhead-associated (FHA) domain,IPR008984:SMAD/FHA domain,IPR019406:Zinc finger, C2H2, APLF-like,					3D-structure,ADP-ribosylation,Coiled coil,Complete proteome,Cytoplasm,DNA damage,DNA repair,Lyase,Metal-binding,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:Aprataxin and PNK-like factor,domain:FHA-like,modified residue,mutagenesis site,sequence conflict,sequence variant,zinc finger region:PBZ-type 1,zinc finger region:PBZ-type 2,
AQP10	aquaporin 10(AQP10)	Homo sapiens				GO:0006833~water transport,GO:0009636~response to toxic substance,GO:0009992~cellular water homeostasis,GO:0015793~glycerol transport,GO:0034219~carbohydrate transmembrane transport,GO:0034220~ion transmembrane transport,GO:0071918~urea transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,	GO:0015204~urea transmembrane transporter activity,GO:0015250~water channel activity,GO:0015254~glycerol channel activity,GO:0015265~urea channel activity,	IPR000425:Major intrinsic protein,IPR022357:Major intrinsic protein, conserved site,IPR023271:Aquaporin-like,IPR026252:Aquaporin 10,					Alternative splicing,Complete proteome,Membrane,Polymorphism,Reference proteome,Repeat,Transmembrane,Transmembrane helix,Transport,	chain:Aquaporin-10,sequence variant,short sequence motif:NPA 1,short sequence motif:NPA 2,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
AQP12B	aquaporin 12B(AQP12B)	Homo sapiens				GO:0006833~water transport,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005215~transporter activity,GO:0015250~water channel activity,	IPR000425:Major intrinsic protein,IPR016697:Aquaporin 11/12,IPR023265:Aquaporin 12,IPR023271:Aquaporin-like,			PIRSF017529:aquaporin, 11/12 types,		Alternative splicing,Complete proteome,Membrane,Reference proteome,Repeat,Signal,Transmembrane,Transmembrane helix,Transport,	chain:Aquaporin-12B,short sequence motif:NPA 1,short sequence motif:NPA 2,splice variant,transmembrane region,
RSRP1	arginine and serine rich protein 1(RSRP1)	Homo sapiens						GO:0005515~protein binding,						Alternative splicing,Complete proteome,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:UPF0471 protein C1orf63,compositionally biased region:Arg-rich,modified residue,sequence variant,splice variant,
